redemption_option,date,coupon_stake,money_coupon,nominal,redemption_price,currency,isin
-,21.05.2031,12.25%,61.08,-,-,RUB,RU000A108EF8
-,19.11.2031,12.25%,61.08,-,-,RUB,RU000A108EF8
-,19.05.2032,12.25%,61.08,-,-,RUB,RU000A108EF8
-,17.11.2032,12.25%,61.08,-,-,RUB,RU000A108EF8
-,18.05.2033,12.25%,61.08,-,-,RUB,RU000A108EF8
-,16.11.2033,12.25%,61.08,-,-,RUB,RU000A108EF8
-,17.05.2034,12.25%,61.08,-,-,RUB,RU000A108EF8
-,15.11.2034,12.25%,61.08,-,-,RUB,RU000A108EF8
-,16.05.2035,12.25%,61.08,-,-,RUB,RU000A108EF8
-,14.11.2035,12.25%,61.08,-,-,RUB,RU000A108EF8
-,14.05.2036,12.25%,61.08,-,-,RUB,RU000A108EF8
-,12.11.2036,12.25%,61.08,-,-,RUB,RU000A108EF8
-,13.05.2037,12.25%,61.08,-,-,RUB,RU000A108EF8
-,11.11.2037,12.25%,61.08,-,-,RUB,RU000A108EF8
-,12.05.2038,12.25%,61.08,-,-,RUB,RU000A108EF8
-,10.11.2038,12.25%,61.08,-,-,RUB,RU000A108EF8
MAT,11.05.2039,12.25%,61.08,1000,-,RUB,RU000A108EF8
-,24.12.1998,12.75%,63.75,-,-,RUB,XS0088543193
-,24.06.1999,12.75%,63.75,-,-,RUB,XS0088543193
-,24.12.1999,12.75%,63.75,-,-,RUB,XS0088543193
-,24.06.2000,12.75%,63.75,-,-,RUB,XS0088543193
-,24.12.2000,12.75%,63.75,-,-,RUB,XS0088543193
-,24.06.2001,12.75%,63.75,-,-,RUB,XS0088543193
-,24.12.2001,12.75%,63.75,-,-,RUB,XS0088543193
-,24.06.2002,12.75%,63.75,-,-,RUB,XS0088543193
-,24.12.2002,12.75%,63.75,-,-,RUB,XS0088543193
-,24.06.2003,12.75%,63.75,-,-,RUB,XS0088543193
-,24.12.2003,12.75%,63.75,-,-,RUB,XS0088543193
-,24.06.2004,12.75%,63.75,-,-,RUB,XS0088543193
-,24.12.2004,12.75%,63.75,-,-,RUB,XS0088543193
-,24.06.2005,12.75%,63.75,-,-,RUB,XS0088543193
-,24.12.2005,12.75%,63.75,-,-,RUB,XS0088543193
-,24.06.2006,12.75%,63.75,-,-,RUB,XS0088543193
-,24.12.2006,12.75%,63.75,-,-,RUB,XS0088543193
-,24.06.2007,12.75%,63.75,-,-,RUB,XS0088543193
-,24.12.2007,12.75%,63.75,-,-,RUB,XS0088543193
PUT,24.06.2008,12.75%,63.75,-,-,RUB,XS0088543193
-,24.12.2008,12.75%,63.75,-,-,RUB,XS0088543193
-,24.06.2009,12.75%,63.75,-,-,RUB,XS0088543193
-,24.12.2009,12.75%,63.75,-,-,RUB,XS0088543193
-,24.06.2010,12.75%,63.75,-,-,RUB,XS0088543193
-,24.12.2010,12.75%,63.75,-,-,RUB,XS0088543193
-,24.06.2011,12.75%,63.75,-,-,RUB,XS0088543193
-,24.12.2011,12.75%,63.75,-,-,RUB,XS0088543193
-,24.06.2012,12.75%,63.75,-,-,RUB,XS0088543193
-,24.12.2012,12.75%,63.75,-,-,RUB,XS0088543193
-,24.06.2013,12.75%,63.75,-,-,RUB,XS0088543193
-,24.12.2013,12.75%,63.75,-,-,RUB,XS0088543193
-,24.06.2014,12.75%,63.75,-,-,USD,XS0088543193
-,24.12.2014,12.75%,63.75,-,-,USD,XS0088543193
-,24.06.2015,12.75%,63.75,-,-,USD,XS0088543193
-,24.12.2015,12.75%,63.75,-,-,USD,XS0088543193
-,24.06.2016,12.75%,63.75,-,-,USD,XS0088543193
-,24.12.2016,12.75%,63.75,-,-,USD,XS0088543193
-,24.06.2017,12.75%,63.75,-,-,USD,XS0088543193
-,24.12.2017,12.75%,63.75,-,-,USD,XS0088543193
-,24.06.2018,12.75%,63.75,-,-,USD,XS0088543193
-,24.12.2018,12.75%,63.75,-,-,USD,XS0088543193
-,24.06.2019,12.75%,63.75,-,-,USD,XS0088543193
-,24.12.2019,12.75%,63.75,-,-,USD,XS0088543193
-,24.06.2020,12.75%,63.75,-,-,USD,XS0088543193
-,24.12.2020,12.75%,63.75,-,-,USD,XS0088543193
-,24.06.2021,12.75%,63.75,-,-,USD,XS0088543193
-,24.12.2021,12.75%,63.75,-,-,USD,XS0088543193
-,24.06.2022,12.75%,63.75,-,-,USD,XS0088543193
-,24.12.2022,12.75%,63.75,-,-,USD,XS0088543193
-,24.06.2023,12.75%,63.75,-,-,RUB,XS0088543193
-,24.12.2023,12.75%,63.75,-,-,RUB,XS0088543193
-,24.06.2024,12.75%,63.75,-,-,RUB,XS0088543193
-,24.12.2024,12.75%,63.75,-,-,RUB,XS0088543193
-,24.06.2025,12.75%,63.75,-,-,RUB,XS0088543193
-,24.12.2025,12.75%,63.75,-,-,RUB,XS0088543193
-,24.06.2026,12.75%,63.75,-,-,USD,XS0088543193
-,24.12.2026,12.75%,63.75,-,-,USD,XS0088543193
-,24.06.2027,12.75%,63.75,-,-,USD,XS0088543193
-,24.12.2027,12.75%,63.75,-,-,USD,XS0088543193
MAT,24.06.2028,12.75%,63.75,1000,-,USD,XS0088543193
-,01.01.2111,-,-,-,-,-,XS0088543193
-,23.09.2022,-,24.75,-,-,RUB,RU000A1056U0
-,23.03.2023,4.95%,24.75,-,-,RUB,RU000A1056U0
-,23.09.2023,4.95%,24.75,-,-,RUB,RU000A1056U0
-,23.03.2024,4.95%,24.75,-,-,RUB,RU000A1056U0
-,23.09.2024,4.95%,24.75,-,-,RUB,RU000A1056U0
-,23.03.2025,4.95%,24.75,-,-,RUB,RU000A1056U0
-,23.09.2025,4.95%,24.75,-,-,RUB,RU000A1056U0
-,23.03.2026,4.95%,24.75,-,-,RUB,RU000A1056U0
-,23.09.2026,4.95%,24.75,-,-,RUB,RU000A1056U0
MAT,23.03.2027,4.95%,24.75,1000,-,RUB,RU000A1056U0
-,20.01.2021,4.5%,28.48,-,-,RUB,RU000A101QE0
-,21.07.2021,4.5%,22.44,-,-,RUB,RU000A101QE0
-,19.01.2022,4.5%,22.44,-,-,RUB,RU000A101QE0
-,20.07.2022,4.5%,22.44,-,-,RUB,RU000A101QE0
-,18.01.2023,4.5%,22.44,-,-,RUB,RU000A101QE0
-,19.07.2023,4.5%,22.44,-,-,RUB,RU000A101QE0
-,17.01.2024,4.5%,22.44,-,-,RUB,RU000A101QE0
-,17.07.2024,4.5%,22.44,-,-,RUB,RU000A101QE0
-,15.01.2025,4.5%,22.44,-,-,RUB,RU000A101QE0
MAT,16.07.2025,4.5%,22.44,1000,-,RUB,RU000A101QE0
-,25.09.2024,12%,43.73,-,-,RUB,RU000A108EE1
-,26.03.2025,12%,59.84,-,-,RUB,RU000A108EE1
-,24.09.2025,12%,59.84,-,-,RUB,RU000A108EE1
-,25.03.2026,12%,59.84,-,-,RUB,RU000A108EE1
-,23.09.2026,12%,59.84,-,-,RUB,RU000A108EE1
-,24.03.2027,12%,59.84,-,-,RUB,RU000A108EE1
-,22.09.2027,12%,59.84,-,-,RUB,RU000A108EE1
-,22.03.2028,12%,59.84,-,-,RUB,RU000A108EE1
-,20.09.2028,12%,59.84,-,-,RUB,RU000A108EE1
-,21.03.2029,12%,59.84,-,-,RUB,RU000A108EE1
-,19.09.2029,12%,59.84,-,-,RUB,RU000A108EE1
-,20.03.2030,12%,59.84,-,-,RUB,RU000A108EE1
-,18.09.2030,12%,59.84,-,-,RUB,RU000A108EE1
-,19.03.2031,12%,59.84,-,-,RUB,RU000A108EE1
-,17.09.2031,12%,59.84,-,-,RUB,RU000A108EE1
-,17.03.2032,12%,59.84,-,-,RUB,RU000A108EE1
-,15.09.2032,12%,59.84,-,-,RUB,RU000A108EE1
-,16.03.2033,12%,59.84,-,-,RUB,RU000A108EE1
-,14.09.2033,12%,59.84,-,-,RUB,RU000A108EE1
-,15.03.2034,12%,59.84,-,-,RUB,RU000A108EE1
-,13.09.2034,12%,59.84,-,-,RUB,RU000A108EE1
-,14.03.2035,12%,59.84,-,-,RUB,RU000A108EE1
-,12.09.2035,12%,59.84,-,-,RUB,RU000A108EE1
MAT,12.03.2036,12%,59.84,1000,-,RUB,RU000A108EE1
-,27.03.2024,11.25%,47.47,-,-,RUB,RU000A1074G2
-,25.09.2024,11.25%,56.1,-,-,RUB,RU000A1074G2
-,26.03.2025,11.25%,56.1,-,-,RUB,RU000A1074G2
-,24.09.2025,11.25%,56.1,-,-,RUB,RU000A1074G2
-,25.03.2026,11.25%,56.1,-,-,RUB,RU000A1074G2
-,23.09.2026,11.25%,56.1,-,-,RUB,RU000A1074G2
-,24.03.2027,11.25%,56.1,-,-,RUB,RU000A1074G2
-,22.09.2027,11.25%,56.1,-,-,RUB,RU000A1074G2
-,22.03.2028,11.25%,56.1,-,-,RUB,RU000A1074G2
-,20.09.2028,11.25%,56.1,-,-,RUB,RU000A1074G2
-,21.03.2029,11.25%,56.1,-,-,RUB,RU000A1074G2
-,19.09.2029,11.25%,56.1,-,-,RUB,RU000A1074G2
-,20.03.2030,11.25%,56.1,-,-,RUB,RU000A1074G2
-,18.09.2030,11.25%,56.1,-,-,RUB,RU000A1074G2
-,19.03.2031,11.25%,56.1,-,-,RUB,RU000A1074G2
-,17.09.2031,11.25%,56.1,-,-,RUB,RU000A1074G2
-,17.03.2032,11.25%,56.1,-,-,RUB,RU000A1074G2
-,15.09.2032,11.25%,56.1,-,-,RUB,RU000A1074G2
-,16.03.2033,11.25%,56.1,-,-,RUB,RU000A1074G2
-,14.09.2033,11.25%,56.1,-,-,RUB,RU000A1074G2
MAT,15.03.2034,11.25%,56.1,1000,-,RUB,RU000A1074G2
-,01.07.2020,-,-,-,-,RUB,RU000A101N52
-,30.09.2020,4.16%,10.38,-,-,RUB,RU000A101N52
-,30.12.2020,4.13%,10.29,-,-,RUB,RU000A101N52
-,31.03.2021,4.15%,10.34,-,-,RUB,RU000A101N52
-,30.06.2021,4.7%,11.72,-,-,RUB,RU000A101N52
-,29.09.2021,6.1%,15.21,-,-,RUB,RU000A101N52
-,29.12.2021,7.1%,17.69,-,-,RUB,RU000A101N52
-,30.03.2022,11.62%,28.97,-,-,RUB,RU000A101N52
-,29.06.2022,14.46%,36.06,-,-,RUB,RU000A101N52
-,28.09.2022,8.31%,20.72,-,-,RUB,RU000A101N52
-,28.12.2022,7.5%,18.7,-,-,RUB,RU000A101N52
-,29.03.2023,7.22%,17.99,-,-,RUB,RU000A101N52
-,28.06.2023,7.22%,17.99,-,-,RUB,RU000A101N52
-,27.09.2023,9.54%,23.78,-,-,RUB,RU000A101N52
-,27.12.2023,13.96%,34.81,-,-,RUB,RU000A101N52
-,27.03.2024,15.59%,38.88,-,-,RUB,RU000A101N52
-,26.06.2024,15.75%,39.27,-,-,RUB,RU000A101N52
-,25.09.2024,16.98%,42.34,-,-,RUB,RU000A101N52
-,25.12.2024,-,-,-,-,RUB,RU000A101N52
-,26.03.2025,-,-,-,-,RUB,RU000A101N52
-,25.06.2025,-,-,-,-,RUB,RU000A101N52
-,24.09.2025,-,-,-,-,RUB,RU000A101N52
-,24.12.2025,-,-,-,-,RUB,RU000A101N52
MAT,25.03.2026,-,-,1000,-,RUB,RU000A101N52
-,20.11.2019,7.15%,32.91,-,-,RUB,RU000A100EG3
-,20.05.2020,7.15%,35.65,-,-,RUB,RU000A100EG3
-,18.11.2020,7.15%,35.65,-,-,RUB,RU000A100EG3
-,19.05.2021,7.15%,35.65,-,-,RUB,RU000A100EG3
-,17.11.2021,7.15%,35.65,-,-,RUB,RU000A100EG3
-,18.05.2022,7.15%,35.65,-,-,RUB,RU000A100EG3
-,16.11.2022,7.15%,35.65,-,-,RUB,RU000A100EG3
-,17.05.2023,7.15%,35.65,-,-,RUB,RU000A100EG3
-,15.11.2023,7.15%,35.65,-,-,RUB,RU000A100EG3
-,15.05.2024,7.15%,35.65,-,-,RUB,RU000A100EG3
-,13.11.2024,7.15%,35.65,-,-,RUB,RU000A100EG3
-,14.05.2025,7.15%,35.65,-,-,RUB,RU000A100EG3
MAT,12.11.2025,7.15%,35.65,1000,-,RUB,RU000A100EG3
-,16.02.2022,7%,44.3,-,-,RUB,RU000A103BR0
-,17.08.2022,7%,34.9,-,-,RUB,RU000A103BR0
-,15.02.2023,7%,34.9,-,-,RUB,RU000A103BR0
-,16.08.2023,7%,34.9,-,-,RUB,RU000A103BR0
-,14.02.2024,7%,34.9,-,-,RUB,RU000A103BR0
-,14.08.2024,7%,34.9,-,-,RUB,RU000A103BR0
-,12.02.2025,7%,34.9,-,-,RUB,RU000A103BR0
-,13.08.2025,7%,34.9,-,-,RUB,RU000A103BR0
-,11.02.2026,7%,34.9,-,-,RUB,RU000A103BR0
-,12.08.2026,7%,34.9,-,-,RUB,RU000A103BR0
-,10.02.2027,7%,34.9,-,-,RUB,RU000A103BR0
-,11.08.2027,7%,34.9,-,-,RUB,RU000A103BR0
-,09.02.2028,7%,34.9,-,-,RUB,RU000A103BR0
-,09.08.2028,7%,34.9,-,-,RUB,RU000A103BR0
-,07.02.2029,7%,34.9,-,-,RUB,RU000A103BR0
-,08.08.2029,7%,34.9,-,-,RUB,RU000A103BR0
-,06.02.2030,7%,34.9,-,-,RUB,RU000A103BR0
-,07.08.2030,7%,34.9,-,-,RUB,RU000A103BR0
-,05.02.2031,7%,34.9,-,-,RUB,RU000A103BR0
-,06.08.2031,7%,34.9,-,-,RUB,RU000A103BR0
-,04.02.2032,7%,34.9,-,-,RUB,RU000A103BR0
-,04.08.2032,7%,34.9,-,-,RUB,RU000A103BR0
-,02.02.2033,7%,34.9,-,-,RUB,RU000A103BR0
-,03.08.2033,7%,34.9,-,-,RUB,RU000A103BR0
-,01.02.2034,7%,34.9,-,-,RUB,RU000A103BR0
-,02.08.2034,7%,34.9,-,-,RUB,RU000A103BR0
-,31.01.2035,7%,34.9,-,-,RUB,RU000A103BR0
-,01.08.2035,7%,34.9,-,-,RUB,RU000A103BR0
-,30.01.2036,7%,34.9,-,-,RUB,RU000A103BR0
MAT,30.07.2036,7%,34.9,1000,-,RUB,RU000A103BR0
-,31.05.2023,9.5%,51.01,-,-,RUB,RU000A105FZ9
-,29.11.2023,9.5%,47.37,-,-,RUB,RU000A105FZ9
-,29.05.2024,9.5%,47.37,-,-,RUB,RU000A105FZ9
-,27.11.2024,9.5%,47.37,-,-,RUB,RU000A105FZ9
-,28.05.2025,9.5%,47.37,-,-,RUB,RU000A105FZ9
-,26.11.2025,9.5%,47.37,-,-,RUB,RU000A105FZ9
-,27.05.2026,9.5%,47.37,-,-,RUB,RU000A105FZ9
-,25.11.2026,9.5%,47.37,-,-,RUB,RU000A105FZ9
-,26.05.2027,9.5%,47.37,-,-,RUB,RU000A105FZ9
-,24.11.2027,9.5%,47.37,-,-,RUB,RU000A105FZ9
-,24.05.2028,9.5%,47.37,-,-,RUB,RU000A105FZ9
-,22.11.2028,9.5%,47.37,-,-,RUB,RU000A105FZ9
-,23.05.2029,9.5%,47.37,-,-,RUB,RU000A105FZ9
-,21.11.2029,9.5%,47.37,-,-,RUB,RU000A105FZ9
-,22.05.2030,9.5%,47.37,-,-,RUB,RU000A105FZ9
-,20.11.2030,9.5%,47.37,-,-,RUB,RU000A105FZ9
-,21.05.2031,9.5%,47.37,-,-,RUB,RU000A105FZ9
-,19.11.2031,9.5%,47.37,-,-,RUB,RU000A105FZ9
-,19.05.2032,9.5%,47.37,-,-,RUB,RU000A105FZ9
MAT,17.11.2032,9.5%,47.37,1000,-,RUB,RU000A105FZ9
-,05.08.2020,6.1%,28.08,-,-,RUB,RU000A101F94
-,03.02.2021,6.1%,30.42,-,-,RUB,RU000A101F94
-,04.08.2021,6.1%,30.42,-,-,RUB,RU000A101F94
-,02.02.2022,6.1%,30.42,-,-,RUB,RU000A101F94
-,03.08.2022,6.1%,30.42,-,-,RUB,RU000A101F94
-,01.02.2023,6.1%,30.42,-,-,RUB,RU000A101F94
-,02.08.2023,6.1%,30.42,-,-,RUB,RU000A101F94
-,31.01.2024,6.1%,30.42,-,-,RUB,RU000A101F94
-,31.07.2024,6.1%,30.42,-,-,RUB,RU000A101F94
-,29.01.2025,6.1%,30.42,-,-,RUB,RU000A101F94
-,30.07.2025,6.1%,30.42,-,-,RUB,RU000A101F94
-,28.01.2026,6.1%,30.42,-,-,RUB,RU000A101F94
-,29.07.2026,6.1%,30.42,-,-,RUB,RU000A101F94
-,27.01.2027,6.1%,30.42,-,-,RUB,RU000A101F94
-,28.07.2027,6.1%,30.42,-,-,RUB,RU000A101F94
-,26.01.2028,6.1%,30.42,-,-,RUB,RU000A101F94
-,26.07.2028,6.1%,30.42,-,-,RUB,RU000A101F94
-,24.01.2029,6.1%,30.42,-,-,RUB,RU000A101F94
-,25.07.2029,6.1%,30.42,-,-,RUB,RU000A101F94
-,23.01.2030,6.1%,30.42,-,-,RUB,RU000A101F94
-,24.07.2030,6.1%,30.42,-,-,RUB,RU000A101F94
-,22.01.2031,6.1%,30.42,-,-,RUB,RU000A101F94
-,23.07.2031,6.1%,30.42,-,-,RUB,RU000A101F94
-,21.01.2032,6.1%,30.42,-,-,RUB,RU000A101F94
-,21.07.2032,6.1%,30.42,-,-,RUB,RU000A101F94
-,19.01.2033,6.1%,30.42,-,-,RUB,RU000A101F94
-,20.07.2033,6.1%,30.42,-,-,RUB,RU000A101F94
-,18.01.2034,6.1%,30.42,-,-,RUB,RU000A101F94
-,19.07.2034,6.1%,30.42,-,-,RUB,RU000A101F94
-,17.01.2035,6.1%,30.42,-,-,RUB,RU000A101F94
MAT,18.07.2035,6.1%,30.42,1000,-,RUB,RU000A101F94
-,14.12.2024,-,18.9,-,-,RUB,RU000A10A349
-,13.01.2025,-,-,-,-,RUB,RU000A10A349
-,12.02.2025,-,-,-,-,RUB,RU000A10A349
-,14.03.2025,-,-,-,-,RUB,RU000A10A349
-,13.04.2025,-,-,-,-,RUB,RU000A10A349
-,13.05.2025,-,-,-,-,RUB,RU000A10A349
-,12.06.2025,-,-,-,-,RUB,RU000A10A349
-,12.07.2025,-,-,-,-,RUB,RU000A10A349
-,11.08.2025,-,-,-,-,RUB,RU000A10A349
-,10.09.2025,-,-,-,-,RUB,RU000A10A349
-,10.10.2025,-,-,-,-,RUB,RU000A10A349
-,09.11.2025,-,-,-,-,RUB,RU000A10A349
-,09.12.2025,-,-,-,-,RUB,RU000A10A349
-,08.01.2026,-,-,-,-,RUB,RU000A10A349
-,07.02.2026,-,-,-,-,RUB,RU000A10A349
-,09.03.2026,-,-,-,-,RUB,RU000A10A349
-,08.04.2026,-,-,-,-,RUB,RU000A10A349
-,08.05.2026,-,-,-,-,RUB,RU000A10A349
-,07.06.2026,-,-,-,-,RUB,RU000A10A349
-,07.07.2026,-,-,-,-,RUB,RU000A10A349
-,06.08.2026,-,-,-,-,RUB,RU000A10A349
-,05.09.2026,-,-,-,-,RUB,RU000A10A349
-,05.10.2026,-,-,-,-,RUB,RU000A10A349
MAT,04.11.2026,-,-,1000,-,RUB,RU000A10A349
-,06.09.2023,9%,55.23,-,-,RUB,RU000A105RV3
-,06.03.2024,9%,44.88,-,-,RUB,RU000A105RV3
-,04.09.2024,9%,44.88,-,-,RUB,RU000A105RV3
-,05.03.2025,9%,44.88,-,-,RUB,RU000A105RV3
-,03.09.2025,9%,44.88,-,-,RUB,RU000A105RV3
-,04.03.2026,9%,44.88,-,-,RUB,RU000A105RV3
-,02.09.2026,9%,44.88,-,-,RUB,RU000A105RV3
-,03.03.2027,9%,44.88,-,-,RUB,RU000A105RV3
-,01.09.2027,9%,44.88,-,-,RUB,RU000A105RV3
-,01.03.2028,9%,44.88,-,-,RUB,RU000A105RV3
-,30.08.2028,9%,44.88,-,-,RUB,RU000A105RV3
